title,time_published,relevance_score,sentiment_score,sentiment_label,topics
"Tesla, CrowdStrike, Wynn Resorts And More On CNBC's 'Final Trades' - CrowdStrike Holdings  ( NASDAQ:CRWD ) , iShares Bitcoin Trust  ( NASDAQ:IBIT ) ",2024-12-03 13:25:38,0.455525,0.391779,Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.938793'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]"
Best-Performing ETF Areas of Last Week,2024-12-03 13:00:00,0.126119,0.263536,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.999336'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]"
"Tesla Chair Estimates New Pay Plan For Elon Musk Could Cost $25B More. Now, Delaware Judge Has Rejected It For The 2nd Time: Here's What's Coming Next - Tesla  ( NASDAQ:TSLA ) ",2024-12-03 12:45:24,0.630514,-0.076249,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
US Stock Futures Dip As Dollar Slides And Treasuries Rise After S&P Hits 54th All-Time High This Year: Analyst Sees 'Further Upside' Of Around 10% In 2025 From Current Levels - Intel  ( NASDAQ:INTC ) ,2024-12-03 12:08:12,0.209728,0.092333,Neutral,"[{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.838487'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999896'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]"
"Tesla Bear Craig Irwin Turns Bullish On EV Giant, Increases Price Target By 347%: 'There Are Abundant Positive Catalysts' - Tesla  ( NASDAQ:TSLA ) ",2024-12-03 11:35:53,0.804667,0.55252,Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Elon Musk says the latest rejection of his mega Tesla payday is 'totally crazy',2024-12-03 11:04:01,0.662945,-0.079148,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Tesla China Sees Robust Demand In Q4, With Registrations Up 14.2% YoY So Far: Expert Says EV Giant On Track For 'Best Quarter Ever' - Tesla  ( NASDAQ:TSLA ) ",2024-12-03 10:30:40,0.743214,0.381793,Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Tesla Stock Soared 47% Since Nov. 5, but Here's a Better Way to Invest in the Self-Driving Revolution Right Now",2024-12-03 10:15:00,0.357049,0.083692,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.999974'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]"
"SpaceX Reportedly Considers Tender Offer Valuing It At $350B, Surging From $210B In Previous Stake Sale - Destiny Tech100  ( NYSE:DXYZ ) ",2024-12-03 10:11:12,0.112532,0.006785,Neutral,"[{'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
"The Zacks Analyst Blog Highlights Tesla, Taiwan Semiconductor and Tencent",2024-12-03 10:00:00,0.240786,0.164702,Somewhat-Bullish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Tesla Gives Cybertruck Production Line Workers 3 Days Off: Report - Tesla  ( NASDAQ:TSLA ) ,2024-12-03 09:05:38,0.63188,0.010741,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Elon Musk's DOGE Co-Lead Already Targeting Tesla Rivals? Vivek Ramaswamy Flags Stellantis' $7.5B Loan Days After Criticizing Rivian's $6.6B Loan - Stellantis  ( NYSE:STLA ) , Rivian Automotive  ( NASDAQ:RIVN ) ",2024-12-03 08:39:56,0.350564,-0.052565,Neutral,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
GM To Sell Stake In Michigan Battery Plant To JV Partner For Nearly $1B - General Motors  ( NYSE:GM ) ,2024-12-03 07:48:54,0.122269,0.0,Neutral,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
GM To Sell Stake In Michigan Battery Plant To JV Partner For Nearly $1B  ( Updated )  - General Motors  ( NYSE:GM ) ,2024-12-03 07:48:47,0.118064,0.0,Neutral,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Does A $1K Monthly Basic Income Check Change How People View Work? Sam Altman's Study Leaves Researchers Surprised - Microsoft  ( NASDAQ:MSFT ) , NVIDIA  ( NASDAQ:NVDA ) ",2024-12-03 07:00:34,0.169081,0.008545,Neutral,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
"S&P, Nasdaq Settle At Record Highs As Tesla, SMCI Surge: Fear Index Remains In 'Greed' Zone - Core & Main  ( NYSE:CNM ) , Salesforce  ( NYSE:CRM ) ",2024-12-03 06:51:04,0.185306,0.259079,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
Tesla's Cybertruck Is Not Coming To China Anytime Soon: Report - Tesla  ( NASDAQ:TSLA ) ,2024-12-03 06:28:57,0.61135,-0.157518,Somewhat-Bearish,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Cathie Wood Slams Delaware Judge As 'Activist' Over Elon Musk's $56B Pay Plan Block, Tesla Warns Of Shareholder Rights Crisis Amid Appeal - Tesla  ( NASDAQ:TSLA ) ",2024-12-03 01:47:38,0.501398,0.042639,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"INTC, CLSK, SMCI, UPST, TSLA: Top 5 Trending Stocks Today - Cleanspark  ( NASDAQ:CLSK ) ",2024-12-03 01:19:49,0.192694,-0.051429,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]"
Elon Musk $56B Pay Package Rejected By Judge Again: Tesla Analyst Says 'A Soap Opera Playing Out In Delaware' - Tesla  ( NASDAQ:TSLA ) ,2024-12-02 23:00:10,0.657821,0.284567,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Tesla CEO Elon Musk loses bid to get $56 billion pay package reinstated,2024-12-02 22:25:37,0.364275,-0.007852,Neutral,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Tesla loses bid to restore Elon Musk's $56bn pay package,2024-12-02 21:59:49,0.636698,0.728168,Bullish,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Voyageur Mineral Explorers Corp. Announces Board Appointment and Equity Incentive Grant,2024-12-02 21:30:00,0.111488,0.096758,Neutral,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
"Leveraged MicroStrategy ETFs Are Playing With Fire, Experts Warn - MicroStrategy  ( NASDAQ:MSTR ) ",2024-12-02 20:04:07,0.060541,0.036276,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.999355'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]"
"Holiday Momentum Pushes Retail, Leisure Stocks Past S&P 500 - Tesla, Garmin, Tapestry Stand Out - SPDR Select Sector Fund - Consumer Discretionary  ( ARCA:XLY ) , SPDR S&P 500  ( ARCA:SPY ) ",2024-12-02 19:41:10,0.279015,0.415942,Bullish,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.714479'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}]"
Stellantis' Market Value Halves In 2024: Why CEO Tavares' Exit Could Take Things From Bad To Worse - Stellantis  ( NYSE:STLA ) ,2024-12-02 18:11:45,0.04872,-0.048011,Neutral,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
What's Behind Tesla Stock's Recent Surge?,2024-12-02 16:45:16,0.885652,0.302822,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Silicon Valley Titans And Their Psychedelic Journeys: The Experiences That Shaped Them - Alphabet  ( NASDAQ:GOOG ) , Tesla  ( NASDAQ:TSLA ) ",2024-12-02 16:04:31,0.081276,0.102372,Neutral,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
Volkswagen Faces Strike Over Labor Issues in German Plants,2024-12-02 15:53:00,0.158,0.025306,Neutral,"[{'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Smart Money Is Betting Big In TSLA Options - Tesla  ( NASDAQ:TSLA ) ,2024-12-02 15:45:32,0.775204,0.37811,Bullish,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
November Turns Out to Be the Best Month: 5 Top Leveraged ETFs,2024-12-02 15:30:00,0.169975,0.187413,Somewhat-Bullish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.999939'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"The Awareness Group Has A Bold, Differentiated Vision For Building A National Platform Of Solar Energy Financing And Project Solutions - Introducing The TAG GRID - Freedom Hldg  ( OTC:FHLD ) , Sunrun  ( NASDAQ:RUN ) ",2024-12-02 14:44:51,0.068209,0.111354,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.538269'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.538269'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]"
Is Ford a Millionaire-Maker Stock?,2024-12-02 14:30:00,0.063258,0.050193,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]"
"Bitcoin's Rally Fuels Coinbase Exec's Optimism For Quick Crypto Laws, Backed By Trump And A 'Pro-Crypto Congress'; Baidu Steps Up, Secures Hong Kong License To Rival Tesla In Self-Driving Tech - Top Headlines Today While US Slept",2024-12-02 14:29:24,0.455978,0.045701,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]"
Billionaire Israel Englander Just Reduced Millennium's Stake in Rivian by 95% and Scooped Up This Other Cathie Wood Favorite EV Stock Instead,2024-12-02 14:00:00,0.157827,0.084236,Neutral,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.858979'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}]"
Ford or General Motors: Which Auto Stock Deserves Your Cash Now?,2024-12-02 13:55:00,0.037387,0.203584,Somewhat-Bullish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.999974'}]"
November Turns S&P 500's Best Month in 2024: ETF Area Winners,2024-12-02 13:25:00,0.430088,0.444205,Bullish,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999919'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]"
SYM FRAUD NEWS: BFA Law is Investigating Symbotic Inc. for Securities Fraud after the Company Overstates Revenue; Investors are Urged to Contact the Firm  ( NASDAQ: SYM )  - Symbotic  ( NASDAQ:SYM ) ,2024-12-02 13:23:00,0.096283,0.167935,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.214378'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
XRAY INVESTOR REPORT: BFA Law Alerts Dentsply Sirona Inc. Investors that a Class Action Lawsuit was Filed Against the Company for Fraud and Urges You to Contact the Firm  ( NASDAQ:XRAY )  - Dentsply Sirona  ( NASDAQ:XRAY ) ,2024-12-02 13:19:00,0.049322,0.157495,Somewhat-Bullish,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}]"
"Foresight, GINT and KONEC Announce Collaboration Agreement to Revolutionize Autonomous Tractors in South Korea",2024-12-02 12:55:00,0.043898,-0.025534,Neutral,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
Profound Medical and Siemens Healthineers to Offer a Complete Solution for MRI-guided Prostate Therapy,2024-12-02 12:30:00,0.041901,0.096883,Neutral,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
CMG INVESTOR NEWS: Chipotle Mexican Grill Investors are Notified that the Company has been Sued for Securities Fraud and are Urged to Contact BFA Law  ( NYSE:CMG )  - Chipotle Mexican Grill  ( NYSE:CMG ) ,2024-12-02 12:25:00,0.072876,0.159856,Somewhat-Bullish,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
ASML INVESTOR NEWS: ASML Holding N.V. Investors are Notified that the Company has been Sued for Securities Fraud and are Urged to Contact BFA Law  ( NASDAQ:ASML )  - ASML Holding  ( NASDAQ:ASML ) ,2024-12-02 12:23:00,0.071784,0.159627,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
ACHC INVESTOR NEWS: Acadia Healthcare Investors are Notified that BFA Law has Sued the Company for Securities Fraud and are Urged to Contact the Firm  ( Nasdaq:ACHC )  - Acadia Healthcare Co  ( NASDAQ:ACHC ) ,2024-12-02 12:21:00,0.059636,0.158086,Somewhat-Bullish,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.858979'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
EVLV INVESTOR NEWS: Evolv Technologies Investors are Notified that BFA Law has Sued the Company for Securities Fraud and are Urged to Contact the Firm  ( Nasdaq:EVLV )  - Evolv Technologies  ( NASDAQ:EVLV ) ,2024-12-02 12:19:00,0.067347,0.158848,Somewhat-Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.214378'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]"
"Baidu Takes on Tesla, Secures License To Test Self-Driving Tech in Hong Kong - Baidu  ( NASDAQ:BIDU ) ",2024-12-02 12:13:17,0.204072,0.0,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]"
Tesla Registrations Tumble 64% In UK In October Even As Overall EV Registrations Rise - Tesla  ( NASDAQ:TSLA ) ,2024-12-02 12:12:17,0.744646,-0.081663,Neutral,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Ark Invest's Cathie Wood Says Stock Market Will 'Broaden Out' Under Trump, But Growth Won't Be Linear: 'Nothing Goes Up In A Straight Line' - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",2024-12-02 12:00:23,0.240489,0.307909,Somewhat-Bullish,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999862'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"US Stocks To Edge Lower After Thanksgiving As Investors Await Data: Analyst Expects A Santa Rally Thanks To 'Goldilocks Foundation' For Big Tech And Tesla Going Into 2025 - Archer Aviation  ( NYSE:ACHR ) , Joby Aviation  ( NYSE:JOBY ) ",2024-12-02 11:48:11,0.035086,0.135371,Neutral,"[{'topic': 'Financial Markets', 'relevance_score': '0.999896'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}, {'topic': 'Economy - Macro', 'relevance_score': '0.310843'}]"
"A Year After Tesla's First Cybertruck Deliveries, The Truck Has A Long Way To Go To Meet Elon Musk's Goals - Tesla  ( NASDAQ:TSLA ) ",2024-12-02 11:26:14,0.445179,-0.023344,Neutral,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Better Stock Under the Trump Administration: Palantir or Tesla?,2024-12-02 10:42:00,0.67165,0.467691,Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"
Superalloys Market is Slated to Evolve at a Phenomenal 9% CAGR through 2031 | SkyQuest Technology,2024-12-02 10:26:43,0.056143,0.17095,Somewhat-Bullish,"[{'topic': 'Earnings', 'relevance_score': '0.161647'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
Tesla Launches FSD V13 But Vehicle Autonomy Is Still Further Away - Tesla  ( NASDAQ:TSLA ) ,2024-12-02 10:12:23,0.627119,0.15282,Somewhat-Bullish,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"BYD Surpassed Tesla In Quarterly Revenue For The First Time In Q3. It Assembles Over 30% Of iPads For Apple, And Is Now Planning To Build AI Robots For Nvidia - Apple  ( NASDAQ:AAPL ) , BYD  ( OTC:BYDDF ) ",2024-12-02 09:35:45,0.295867,0.173212,Somewhat-Bullish,"[{'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]"
How A Potential Fallout Between Elon Musk And Trump Could Impact Tesla And SpaceX: Cathie Wood Weighs In - Tesla  ( NASDAQ:TSLA ) ,2024-12-02 08:17:01,0.419153,0.228772,Somewhat-Bullish,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Tesla Rival BYD Marks 68% Growth In November Sales Driven By Popularity Of Plug-In Hybrid EVs - Tesla  ( NASDAQ:TSLA ) , BYD  ( OTC:BYDDF ) , BYD  ( OTC:BYDDY ) ",2024-12-02 06:21:34,0.60098,0.087615,Neutral,"[{'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
Are ChatGPT Like LLMS 'Digital Gods' Or Just 'Imitating Monkeys' - Investor In Elon Musk's Grok Shares His Thoughts,2024-12-02 04:56:45,0.076602,0.163174,Somewhat-Bullish,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]"
"Tesla Investor Gary Black Says Price Cuts Alone Won't Do It For Tesla, Emphasizes The Need For New Models To Drive 2025 Growth - Tesla  ( NASDAQ:TSLA ) ",2024-12-02 04:49:04,0.697241,0.294341,Somewhat-Bullish,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]"
"Tech Stocks Set For Strong Santa Rally As Wall Street Looks For An End To 'Regulatory Spider Web' In The Trump Era, Says Dan Ives - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2024-12-02 04:43:47,0.325924,0.443438,Bullish,"[{'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]"
